1;de;loir-et-cher;Loir-et-Cher;;
1;en;loir-et-cher;Loir-et-Cher;;
1;fr;loir-et-cher;Loir-et-Cher;;
1;nl;loir-et-cher;Loir-et-Cher;;
2;de;perigord-dordogne;Périgord/Dordogne;;Der Périgord ist eine alte, sich in den verschiedensten Farben zeigende historische Provinz in der Dordogne. Der Einfluss der Region Dordogne-Périgord erstreckt sich über die beiden, an die Dordogne angrenzenden und reizvoll vom Fluss Dordogne durchströmten Departements Corrèze und Lot.
2;en;perigord-dordogne;Périgord/Dordogne;;reizvoll vom Fluss Dordogne durchströmt
2;fr;perigord-dordogne;Périgord/Dordogne;;Ancienne province historique de la Dordogne, le Périgord se décline en plusieurs couleurs. L'influence de la région Dordogne-Périgord s'étend aux deux départements frontaliers de la Dordogne : Corrèze et Lot, que la rivière de la Dordogne traverse avec grâce.
2;nl;perigord-dordogne;Périgord/Dordogne;;
3;de;costa-brava;Costa Brava;;
3;en;costa-brava;Costa Brava;;
3;fr;costa-brava;Costa Brava;;
3;nl;costa-brava;Costa Brava;;
4;de;gironde;Gironde;;Ein Urlaub im Gironde bedeutet das Entdecken einer noch intakten Natur von überraschender Vielseitigkeit und verführerischer Schönheit.
4;en;gironde;Gironde;;
4;fr;gironde;Gironde;;Partir en vacances en Gironde, c'est découvrir une terre à la nature préservée, qui étonne par sa diversité et séduit par sa beauté.
4;nl;gironde;Gironde;;
5;de;elsass-jura;Elsass/Jura;;An der Grenze zwischen Deutschland und der Schweiz, inmitten der Vogesen und der Rheinebene, geht es in Richtung Ostfrankreich in den Urlaub im Elsass.
5;en;alsace-jura;Alsace/Jura;;
5;fr;alsace-jura;Alsace/Jura;;Aux frontières de l'Allemagne et de la Suisse, au cœur des montagnes des Vosges et de la plaine du Rhin, direction l'Est de la France pour partir en vacances en Alsace.
5;nl;alsace-jura;Alsace/Jura;;
6;de;landes;Landes;;In der Aquitaine, zwischen dem Baskenland und der Gironde, erstreckt sich von Biscarrosse bis Tarnos das Departement Landes über einen feinen Sandstrand von 106 km an der Atlantikküste entlang … eine ideale Region für einen Urlaub mit der ganzen Familie!
6;en;landes;Landes;;
6;fr;landes;Landes;;En Aquitaine, entre Pays basque et Gironde, de Biscarrosse à Tarnos, le département des Landes couvre 106km de plages de sable fin sur la côte Atlantique… passez des vacances en famille dans les Landes, c'est une région idéale !
6;nl;landes;Landes;;
7;de;costa-dorada;Costa Dorada;;
7;en;costa-dorada;Costa Dorada;;
7;fr;costa-dorada;Costa Dorada;;
7;nl;costa-dorada;Costa Dorada;;
8;de;normandie;Normandie;;Verzaubert vom Mont-Saint-Michel und seinem unvergleichlich schönen Umland, betroffen von einem der bedeutendsten Ereignisse in der Weltgeschichte, die am 6. Juni 1944 u. a. auf den Stränden der Normandie geschrieben wurde – ein jeder will „seine Normandie“ besuchen oder noch einmal wiedersehen. Die Normandie ist reich an Sehenswürdigkeiten.
8;en;normandie;Normandie;;
8;fr;normandie;Normandie;;"Touché par la magie du Mont-Saint-Michel, charmé par ses paysages incomparables, impressionné par l'une des plus grandes pages de l'histoire mondiale, qui s'est écrite sur les plages normandes le 6 juin 1944, chacun veut voir ou ""revoir sa Normandie"". Il existe une multitude de sites à visiter en Normandie."
8;nl;normandie;Normandie;;
9;de;bretagne;Bretagne;;Als Land der Legenden und Traditionen liegt die Bretagne zwischen Armor und Argoat, bretonischer Küste und Landesinnerem, und überrascht mit ihren Landschaften und ihrem abwechslungsreichen Klima.
9;en;bretagne;Bretagne;;
9;fr;bretagne;Bretagne;;Terre de légendes et de traditions, la Bretagne oscille entre l'Armor et l'Argoat, la mer et la terre bretonnes, et offre des paysages surprenants aux climats très variés.
9;nl;bretagne;Bretagne;;
10;de;charente-maritime;Charente-Maritime;;Im Südwesten Frankreichs, zwischen dem Charente-Maritime und der Dordogne, können Sie Ihren Urlaub auf dem Campingplatz Charente mitten im Grünen verbringen.
10;en;charente-maritime;Charente-Maritime;;
10;fr;charente-maritime;Charente-Maritime;;Dans le Sud-Ouest de la France, entre la Charente-Maritime et la Dordogne, passez des vacances au camping en Charente, au vert.
10;nl;charente-maritime;Charente-Maritime;;
11;de;baskenland;Baskenland;;
11;en;pays-basque;Pays basque;;
11;fr;pays-basque;Pays basque;;
11;nl;pays-basque;Pays basque;;
12;de;pays-de-loire;Pays de Loire;;An den Seen, die Geschichte auf verschiedenste Weise geschrieben haben, erstreckt sich das Pays de la Loire auf Ihrer Fahrt in den Urlaub über 450 km Küstengebiet und lädt ein zu Tourismus im Grünen, Radwandern („Die Loire mit dem Fahrrad erkunden“) und Schifffahrt. Unzählige Schlösser zieren das Loire-Tal, das von der UNESCO als Weltkulturerbe klassifiziert wurde.
12;en;pays-de-loire;Pays de Loire;;
